State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Chhatra Dhari Purwa Village : Kanarkhi,160,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Chhotanney Purwa Village : Terwamanikapur,162,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dayal Purwa Village : Dahaldhaurara,176,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dhandhi Village : Rampur,192,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Deeh Village : Goahdih,178,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dashrath Purwa Village : Bagasti,174,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dina Purwa Village : Shukulauporwa,205,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dhobin Purwa Village : Goahdih,201,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dularey Purwa Village : Sonarakhi,211,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dhaukal Ganj Bazah Village : Terwamanikapur,197,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Dhobiyan Purwa Village : Bariyarpur,202,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Faujdar Purwa Village : Sonarakhi,220,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Gaderian Purwa Village : Chhatauni,223,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Gothwa Village : Gojhawa,252,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Hajari Purwa Village : Keora,262,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Gwal Purwa Village : Keora,258,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Heckey Purwa Village : Dahaldhaurara,269,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Hari Purwa Village : Shukulauporwa,264,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Jagan Purwa Village : Basantpur,275,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Jagu Purwa Village : Terwamanikapur,280,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Indrajee Purwa Village : Deshilaukiya,271,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Jhagroo Purwa Village : Sirkunda,291,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Janki Nagar Tikaha Village : Jankinagar,286,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
Uttar Pradesh,Sitapur,71,Rampurmathura,16,Jahanpur Village : Jahanpur,281,KeyError,0
State,Dist,Dist Number,Block,Block Number,Village,Village Number,Error type,Error desc
